Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7,Reward
278,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
279,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
280,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
281,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
282,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
283,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
284,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
285,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
286,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
287,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
288,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
289,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
290,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
291,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
292,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
293,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
294,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
295,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
296,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
297,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
298,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
299,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
300,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
301,0.0,0.0,100.0,2.63,97.37,0.0,0.16,-64
302,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
303,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
304,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
305,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
306,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
307,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
308,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
309,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
310,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
311,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
312,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
313,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
314,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
315,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
316,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
317,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
